berth_id,berth_name,terminal,operator,max_capacity_teu,crane_count,berth_length_m,water_depth_m,berth_type,ship_type_compatibility
1,CT1-B1,Container Terminal 1,HIT,25000,6,350,17,container,"ultra_large,large,medium"
2,CT1-B2,Container Terminal 1,HIT,25000,6,350,17,container,"ultra_large,large,medium"
3,CT1-B3,Container Terminal 1,HIT,22000,5,320,17,container,"large,medium,small"
4,CT2-B1,Container Terminal 2,HIT,28000,7,380,17,container,"ultra_large,large,medium"
5,CT2-B2,Container Terminal 2,HIT,28000,7,380,17,container,"ultra_large,large,medium"
6,CT2-B3,Container Terminal 2,HIT,25000,6,350,17,container,"ultra_large,large,medium"
7,CT3-B1,Container Terminal 3,CHT,30000,8,400,17,container,"ultra_large,large,medium"
8,CT3-B2,Container Terminal 3,CHT,30000,8,400,17,container,"ultra_large,large,medium"
9,CT4-B1,Container Terminal 4,MTL,26000,6,360,17,container,"ultra_large,large,medium"
10,CT4-B2,Container Terminal 4,MTL,26000,6,360,17,container,"ultra_large,large,medium"
11,CT4-B3,Container Terminal 4,MTL,24000,5,340,17,container,"large,medium,small"
12,CT5-B1,Container Terminal 5,MTL,28000,7,380,17,container,"ultra_large,large,medium"
13,CT5-B2,Container Terminal 5,MTL,28000,7,380,17,container,"ultra_large,large,medium"
14,CT6-B1,Container Terminal 6,MTL,25000,6,350,17,container,"ultra_large,large,medium"
15,CT6-B2,Container Terminal 6,MTL,25000,6,350,17,container,"ultra_large,large,medium"
16,CT7-B1,Container Terminal 7,MTL,32000,8,420,17,container,"ultra_large,large,medium"
17,CT7-B2,Container Terminal 7,MTL,32000,8,420,17,container,"ultra_large,large,medium"
18,CT8-B1,Container Terminal 8,COSCO-HIT,29000,7,390,17,container,"ultra_large,large,medium"
19,CT8-B2,Container Terminal 8,COSCO-HIT,29000,7,390,17,container,"ultra_large,large,medium"
20,CT8-B3,Container Terminal 8,COSCO-HIT,26000,6,360,17,container,"ultra_large,large,medium"
21,CT9-B1,Container Terminal 9,ACT,27000,6,370,17,container,"ultra_large,large,medium"
22,CT9-B2,Container Terminal 9,ACT,27000,6,370,17,container,"ultra_large,large,medium"
23,CT9-B3,Container Terminal 9,ACT,24000,5,340,17,container,"large,medium,small"
24,CT9-B4,Container Terminal 9,ACT,24000,5,340,17,container,"large,medium,small"
25,RTT-B1,River Trade Terminal,Government,15000,3,250,12,mixed,"medium,small,barge"
26,RTT-B2,River Trade Terminal,Government,15000,3,250,12,mixed,"medium,small,barge"
27,RTT-B3,River Trade Terminal,Government,12000,2,220,12,mixed,"small,barge"
28,PCWA-B1,Public Cargo Working Area,Government,8000,2,180,10,bulk,"small,barge"
29,PCWA-B2,Public Cargo Working Area,Government,8000,2,180,10,bulk,"small,barge"
30,PCWA-B3,Public Cargo Working Area,Government,6000,1,150,10,bulk,"small,barge"
